Date	truck	Hospital City	Hostipal Name	refill in (tons)	delivery cost	product tot price	total bill	over delivery
01/01/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,5	5250	21037,5	26287,5	OK
01/01/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
01/01/2024  13:030:00	Chulapo	Madrid	Infanta Sofía	7,3	4650	18067,5	22717,5	OK
01/01/2024 14:00	Chulapo	Madrid	San Carlos	8,6	5300	21070	26370	OK
01/01/2024 14:40	Chulapo	Madrid	La Paz	8,6	5300	21285	26585	OK
01/01/2024 11:00	Nen	Barcelona	Bellvitge	9,9	5950	22522,5	28472,5	OK
01/01/2024 11:40	Nen	Barcelona	Clínic	7,1	4550	18460	23010	OK
01/01/2024  12:030:00	Nen	Barcelona	Del Mar	8,2	5100	20295	25395	OK
01/01/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,3	5150	21372,5	26522,5	OK
01/01/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,99	5995	25724,25	31719,25	OK
01/01/2024 15:00	Manyo	Zaragoza	Quirón	7,1	4550	17572,5	22122,5	OK
01/01/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,3	4650	18067,5	22717,5	OK
01/01/2024 16:30	Manyo	Zaragoza	Royo Villanova	8,3	5150	18675	23825	OK
01/01/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,5	5250	21037,5	26287,5	OK
01/01/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,1	5050	20047,5	25097,5	OK
01/01/2024 12:00	Alicantino	Alicante	General de Alicante	9,99	5995	24725,25	30720,25	OK
01/01/2024 12:40	Alicantino	Alicante	San Juan	7,1	4550	19347,5	23897,5	OK
01/01/2024  13:030:00	Alicantino	Alicante	Perpetuo Socorro	8,4	5200	20790	25990	OK
01/01/2024 14:00	Alicantino	Alicante	Vinalopó	8,3	5150	18675	23825	OK
01/01/2024 14:40	Alicantino	Alicante	IMED	9,8	5900	24255	30155	OK
01/01/2024 15:00	Gijonés	Gijon	Covadonga	7,1	4550	18460	23010	OK
01/01/2024 15:40	Gijonés	Gijon	Gijón Salud	9,2	5600	22770	28370	OK
01/01/2024 16:30	Gijonés	Gijon	Cabueñes	8,9	5450	20247,5	25697,5	OK
01/01/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
01/01/2024 17:40	Gijonés	Gijon	Begona	7,2	4600	16560	21160	OK
16/01/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,585	5292,5	21247,875	26540,375	OK
16/01/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
16/01/2024 13:30	Chulapo	Madrid	Infanta Sofía	7,227	4613,5	17886,825	22500,325	OK
16/01/2024 14:00	Chulapo	Madrid	San Carlos	8,686	5343	21280,7	26623,7	OK
16/01/2024 14:40	Chulapo	Madrid	La Paz	8,428	5214	20859,3	26073,3	OK
16/01/2024 11:00	Nen	Barcelona	Bellvitge	9,801	5900,5	22297,275	28197,775	OK
16/01/2024 11:40	Nen	Barcelona	Clínic	7,242	4621	18829,2	23450,2	OK
16/01/2024 12:20	Nen	Barcelona	Del Mar	8,036	5018	19889,1	24907,1	OK
16/01/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,3	5150	21372,5	26522,5	OK
16/01/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,99	5995	25724,25	31719,25	OK
16/01/2024 15:00	Manyo	Zaragoza	Quirón	7,242	4621	17923,95	22544,95	OK
16/01/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,227	4613,5	17886,825	22500,325	OK
16/01/2024 16:30	Manyo	Zaragoza	Royo Villanova	8,134	5067	18301,5	23368,5	OK
16/01/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,585	5292,5	21247,875	26540,375	OK
16/01/2024 17:40	Manyo	Zaragoza	Ernest Lluch	8,019	5009,5	19847,025	24856,525	OK
16/01/2024 12:00	Alicantino	Alicante	General de Alicante	9,99	5995	24725,25	30720,25	OK
16/01/2024 12:40	Alicantino	Alicante	San Juan	7,242	4621	19734,45	24355,45	OK
16/01/2024 13:20	Alicantino	Alicante	Perpetuo Socorro	8,4	5200	20790	25990	OK
16/01/2024 14:00	Alicantino	Alicante	Vinalopó	8,383	5191,5	18861,75	24053,25	OK
16/01/2024 14:40	Alicantino	Alicante	IMED	9,8	5900	24255	30155	OK
16/01/2024 15:00	Gijonés	Gijon	Covadonga	7,171	4585,5	18644,6	23230,1	OK
16/01/2024 15:40	Gijonés	Gijon	Gijón Salud	9,016	5508	22314,6	27822,6	OK
16/01/2024 16:30	Gijonés	Gijon	Cabueñes	8,811	5405,5	20045,025	25450,525	OK
16/01/2024 17:00	Gijonés	Gijon	Jovellanos	9,99	5995	24725,25	30720,25	OK
16/01/2024 17:40	Gijonés	Gijon	Begona	7,344	4672	16891,2	21563,2	OK
31/01/2024 12:00	Chulapo	Madrid	Doce de Octubre	8,4133	5206,65	20822,9175	26029,5675	OK
31/01/2024 12:40	Chulapo	Madrid	Gregorio Marañón	9,99	5995	24725,25	30720,25	OK
31/01/2024 13:30	Chulapo	Madrid	Infanta Sofía	7,29927	4649,635	18065,69325	22715,32825	OK
31/01/2024 14:00	Chulapo	Madrid	San Carlos	8,85972	5429,86	21706,314	27136,174	OK
31/01/2024 14:40	Chulapo	Madrid	La Paz	8,51228	5256,14	21067,893	26324,033	OK
31/01/2024 11:00	Nen	Barcelona	Bellvitge	9,70299	5851,495	22074,30225	27925,79725	OK
31/01/2024 11:40	Nen	Barcelona	Clínic	7,31442	4657,21	19017,492	23674,702	OK
31/01/2024 12:20	Nen	Barcelona	Del Mar	7,87528	4937,64	19491,318	24428,958	OK
31/01/2024 13:00	Nen	Barcelona	Vall d'Hebron	8,466	5233	21799,95	27032,95	OK
31/01/2024 13:40	Nen	Barcelona	Sant Joan de Déu	9,99	5995	25724,25	31719,25	OK
31/01/2024 15:00	Manyo	Zaragoza	Quirón	7,09716	4548,58	17565,471	22114,051	OK
31/01/2024 15:40	Manyo	Zaragoza	Nuestra Señora	7,29927	4649,635	18065,69325	22715,32825	OK
31/01/2024 16:30	Manyo	Zaragoza	Royo Villanova	8,05266	5026,33	18118,485	23144,815	OK
31/01/2024 17:00	Manyo	Zaragoza	Miguel Servet	8,585	5292,5	21247,875	26540,375	OK
