date	plant	production (tons)	 stored (tons)	delivered (tons)
01/01/2024 11:00	Madrid	3,0396	3,009204	44
02/01/2024 11:00	Madrid	3,129	6,106914	
03/01/2024 11:00	Madrid	3,0396	9,116118	
04/01/2024 11:00	Madrid	2,831	11,918808	
05/01/2024 11:00	Madrid	3,129	15,016518	
06/01/2024 11:00	Madrid	2,8608	17,84871	
07/01/2024 11:00	Madrid	2,9204	20,739906	
08/01/2024 11:00	Madrid	2,8608	23,572098	
09/01/2024 11:00	Madrid	3,0098	26,5518	
10/01/2024 11:00	Madrid	2,831	29,35449	
11/01/2024 11:00	Madrid	2,98	32,30469	
12/01/2024 11:00	Madrid	3,0098	35,284392	
13/01/2024 11:00	Madrid	3,0694	38,323098	
14/01/2024 11:00	Madrid	2,9502	41,243796	
15/01/2024 11:00	Madrid	3,0098	44,223498	
16/01/2024 11:00	Madrid	2,8906	3,085192	44
17/01/2024 11:00	Madrid	3,0098	6,064894	
18/01/2024 11:00	Madrid	2,8012	8,838082	
19/01/2024 11:00	Madrid	2,831	11,640772	
20/01/2024 11:00	Madrid	2,8012	14,41396	
21/01/2024 11:00	Madrid	2,8608	17,246152	
22/01/2024 11:00	Madrid	2,9204	20,137348	
23/01/2024 11:00	Madrid	2,8608	22,96954	
24/01/2024 11:00	Madrid	3,0992	26,037748	
25/01/2024 11:00	Madrid	3,1588	29,16496	
26/01/2024 11:00	Madrid	2,8608	31,997152	
27/01/2024 11:00	Madrid	2,98	34,947352	
28/01/2024 11:00	Madrid	3,0098	37,927054	
29/01/2024 11:00	Madrid	3,1588	41,054266	
30/01/2024 11:00	Madrid	2,8906	43,91596	
31/01/2024 11:00	Madrid	2,8012	2,689148	44
01/02/2024 11:00	Madrid	3,0992	5,757356	
02/02/2024 11:00	Madrid	2,9204	8,648552	
03/02/2024 11:00	Madrid	3,0694	11,687258	
04/02/2024 11:00	Madrid	3,1588	14,81447	
05/02/2024 11:00	Madrid	2,8012	17,587658	
06/02/2024 11:00	Madrid	3,0396	20,596862	
07/02/2024 11:00	Madrid	2,9502	23,51756	
08/02/2024 11:00	Madrid	3,129	26,61527	
09/02/2024 11:00	Madrid	2,9502	29,535968	
10/02/2024 11:00	Madrid	3,129	32,633678	
11/02/2024 11:00	Madrid	2,9204	35,524874	
12/02/2024 11:00	Madrid	2,9502	38,445572	
13/02/2024 11:00	Madrid	3,0992	41,51378	
14/02/2024 11:00	Madrid	2,8012	44,286968	
15/02/2024 11:00	Madrid	2,9204	3,178164	44
16/02/2024 11:00	Madrid	3,0992	6,246372	
17/02/2024 11:00	Madrid	3,0098	9,226074	
18/02/2024 11:00	Madrid	3,0098	12,205776	
19/02/2024 11:00	Madrid	2,8012	14,978964	
20/02/2024 11:00	Madrid	2,98	17,929164	
21/02/2024 11:00	Madrid	2,98	20,879364	
22/02/2024 11:00	Madrid	2,8012	23,652552	
23/02/2024 11:00	Madrid	2,98	26,602752	
24/02/2024 11:00	Madrid	3,1588	29,729964	
25/02/2024 11:00	Madrid	2,8012	32,503152	
26/02/2024 11:00	Madrid	3,1588	35,630364	
27/02/2024 11:00	Madrid	3,0992	38,698572	
28/02/2024 11:00	Madrid	2,9204	41,589768	
29/02/2024 11:00	Madrid	3,129	44,687478	
01/03/2024 11:00	Madrid	2,8906	3,549172	44
02/03/2024 11:00	Madrid	2,831	6,351862	
03/03/2024 11:00	Madrid	2,8608	9,184054	
04/03/2024 11:00	Madrid	3,0396	12,193258	
05/03/2024 11:00	Madrid	2,831	14,995948	
06/03/2024 11:00	Madrid	3,0694	18,034654	
07/03/2024 11:00	Madrid	2,9204	20,92585	
08/03/2024 11:00	Madrid	2,98	23,87605	
09/03/2024 11:00	Madrid	2,8906	26,737744	
10/03/2024 11:00	Madrid	3,129	29,835454	
11/03/2024 11:00	Madrid	2,8906	32,697148	
12/03/2024 11:00	Madrid	2,8012	35,470336	
13/03/2024 11:00	Madrid	2,8906	38,33203	
14/03/2024 11:00	Madrid	2,9502	41,252728	
15/03/2024 11:00	Madrid	2,8012	44,025916	
16/03/2024 11:00	Madrid	2,98	2,976116	44
17/03/2024 11:00	Madrid	2,9502	5,896814	
18/03/2024 11:00	Madrid	2,9204	8,78801	
19/03/2024 11:00	Madrid	3,129	11,88572	
20/03/2024 11:00	Madrid	2,8906	14,747414	
21/03/2024 11:00	Madrid	3,0098	17,727116	
22/03/2024 11:00	Madrid	3,1588	20,854328	
23/03/2024 11:00	Madrid	2,8012	23,627516	
24/03/2024 11:00	Madrid	2,9204	26,518712	
25/03/2024 11:00	Madrid	3,129	29,616422	
26/03/2024 11:00	Madrid	3,0396	32,625626	
27/03/2024 11:00	Madrid	2,831	35,428316	
28/03/2024 11:00	Madrid	2,9204	38,319512	
29/03/2024 11:00	Madrid	2,9204	41,210708	
30/03/2024 11:00	Madrid	3,0694	44,249414	
31/03/2024 11:00	Madrid	3,129	3,347124	44
01/04/2024 11:00	Madrid	3,0992	6,415332	
02/04/2024 11:00	Madrid	2,9204	9,306528	
03/04/2024 11:00	Madrid	3,0694	12,345234	
04/04/2024 11:00	Madrid	2,8906	15,206928	
05/04/2024 11:00	Madrid	3,0992	18,275136	
06/04/2024 11:00	Madrid	3,0992	21,343344	
07/04/2024 11:00	Madrid	2,831	24,146034	
08/04/2024 11:00	Madrid	2,8608	26,978226	
09/04/2024 11:00	Madrid	2,8906	29,83992	
10/04/2024 11:00	Madrid	2,9502	32,760618	
11/04/2024 11:00	Madrid	3,129	35,858328	
12/04/2024 11:00	Madrid	3,0992	38,926536	
13/04/2024 11:00	Madrid	3,0098	41,906238	
14/04/2024 11:00	Madrid	3,0098	44,88594	
15/04/2024 11:00	Madrid	3,0992	3,954148	44
16/04/2024 11:00	Madrid	3,0396	6,963352	
17/04/2024 11:00	Madrid	2,8906	9,825046	
18/04/2024 11:00	Madrid	2,8906	12,68674	
19/04/2024 11:00	Madrid	3,0396	15,695944	
